Generating SQLite file /workspace/results/full_stack_profile_20260407_223332/profiles/rvllm_n64.sqlite from /workspace/results/full_stack_profile_20260407_223332/profiles/rvllm_n64.nsys-rep
Processing [/workspace/results/full_stack_profile_20260407_223332/profiles/rvllm_n64.sqlite] with [/opt/nvidia/nsight-compute/2025.1.0/host/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)   Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ---------  ---------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
      9.1         28085063        980    28658.2    25743.5     12864     47776      12568.3  fa3_v3_decode_gqa_kernel                                                                            
      5.0         15558358        168    92609.3   101279.0     24224    176062      50942.2  nvjet_hsh_144x128_64x6_2x1_v_bz_TNN                                                                 
      4.9         15067677        140   107626.3   107615.0    106175    109055        633.0  nvjet_hsh_192x128_64x5_1x2_h_bz_coopB_TNT                                                           
      4.3         13397146       2072     6465.8     6048.0      5024     15680       2029.2  fused_residual_rmsnorm_f16_kernel                                                                   
      4.1         12759192       1036    12315.8    10976.0      2112     49119      10213.5  silu_mul_interleaved_f16_kernel                                                                     
      4.1         12638922         56   225695.0   225741.5    223581    228413        916.4  nvjet_hsh_192x160_64x4_1x2_h_bz_coopB_TNT                                                           
      4.0         12437042         56   222090.0   221774.0    218526    228029       2312.8  flash_attention_3_prefill_f16io_kernel                                                              
      3.4         10479375        224    46782.9    44639.5     16352     83039      29867.7  nvjet_hsh_112x64_64x9_1x2_h_bz_TNN                                                                  
      3.3         10073583        112    89942.7    89999.0     87551     92287        980.1  nvjet_hsh_64x8_64x16_2x1_v_bz_TNT                                                                   
      2.0          6031165         56   107699.4   107775.0    106111    109599        782.1  nvjet_hsh_192x176_64x4_4x1_v_bz_coopB_TNT                                                           
      1.9          5879516         56   104991.4   104958.5    103999    106207        466.6  nvjet_hsh_192x112_64x5_1x2_h_bz_TNT                                                                 
      1.9          5860771         56   104656.6   104478.5    102751    107103       1068.4  nvjet_hsh_144x192_64x5_2x1_v_bz_coopB_TNN                                                           
      1.9          5802366         56   103613.7   103614.5     98975    109183       2915.2  nvjet_hsh_320x80_64x4_4x1_v_bz_coopB_TNT                                                            
      1.9          5795229         56   103486.2   103151.0    101695    106175       1204.5  nvjet_hsh_192x144_64x5_4x1_v_bz_coopB_TNT                                                           
      1.9          5758878         56   102837.1   101998.5     99679    110175       2548.8  nvjet_hsh_320x96_64x4_4x1_v_bz_coopB_TNT                                                            
      1.8          5697762         56   101745.8   101743.0     99583    103519        750.8  nvjet_hsh_320x112_64x3_4x1_v_bz_coopB_TNT                                                           
      1.7          5223044        112    46634.3    42527.5     14239     84607      31237.7  nvjet_hsh_88x64_64x11_2x1_v_bz_TNN                                                                  
      1.5          4699055       1008     4661.8     4320.0      1984     12864       2279.1  rotary_embedding_f16_kernel                                                                         
      1.4          4361872        112    38945.3    38847.5     15040     63776      23671.6  nvjet_hsh_64x112_64x9_4x2_v_bz_TNT                                                                  
      1.3          4143025        112    36991.3    36943.5     14271     60511      22453.1  nvjet_hsh_64x104_64x10_4x2_v_bz_TNT                                                                 
      1.3          3961588        112    35371.3    35007.5     13536     58176      21610.0  nvjet_hsh_64x88_64x11_4x2_v_bz_TNT                                                                  
      1.3          3925076        112    35045.3    35039.5     13375     57567      21434.6  nvjet_hsh_64x80_64x11_4x2_v_bz_TNT                                                                  
      1.1          3497304       1008     3469.5     3264.0      1631      8960       1582.2  deinterleave_qkv_f16_kernel                                                                         
      1.1          3372255       1008     3345.5     3328.0      1632      7679       1005.9  reshape_and_cache_f16io_kernel                                                                      
      1.0          2970494         28   106089.1   106127.0    104703    107519        637.5  nvjet_hsh_192x160_64x4_4x1_v_bz_coopB_TNT                                                           
      1.0          2960287         28   105724.5   105711.0    104255    106879        540.9  nvjet_hsh_320x80_64x4_4x2_v_bz_coopB_TNT                                                            
      0.9          2924287         28   104438.8   104431.0    103295    105695        639.0  nvjet_hsh_192x104_64x5_1x2_h_bz_TNT                                                                 
      0.9          2808608         28   100307.4    99919.0     97631    104031       1935.3  nvjet_hsh_320x56_64x4_4x1_v_bz_TNT                                                                  
      0.9          2795744         28    99848.0    99694.5     97247    102815       1666.3  nvjet_hsh_320x48_64x4_4x1_v_bz_TNT                                                                  
      0.9          2780512         28    99304.0    99103.0     96383    102943       1774.7  nvjet_hsh_320x40_64x4_4x1_v_bz_TNT                                                                  
      0.9          2742305         28    97939.5    97486.5     95007    102207       2112.9  nvjet_hsh_320x24_64x4_4x1_v_bz_TNT                                                                  
      0.9          2719646         28    97130.2    97087.0     96511     97950        370.0  nvjet_hsh_96x64_64x10_2x1_v_bz_TNN                                                                  
      0.9          2711394          4   677848.5   678729.0    431643    922293     281217.1  nvjet_hss_192x208_64x4_2x1_v_bz_coopB_TNT                                                           
      0.9          2648162         28    94577.2    94607.0     93758     95455        414.2  nvjet_hsh_64x32_64x16_4x1_v_bz_TNT                                                                  
