Generating SQLite file /workspace/results/manual_profile_n64_20260407_230500/vllm_n64.sqlite from /workspace/results/manual_profile_n64_20260407_230500/vllm_n64.nsys-rep
Processing [/workspace/results/manual_profile_n64_20260407_230500/vllm_n64.sqlite] with [/opt/nvidia/nsight-compute/2025.1.0/host/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)    Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ----------  ----------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     25.6        339152299        224   1514072.8    135503.0    132127   6194750    2395824.1  nvjet_tst_192x192_64x4_2x1_v_bz_coopB_TNN                                                           
     13.7        181852306        112   1623681.3   1492288.0    473243   3043232    1102206.9  nvjet_tst_256x128_64x4_1x2_h_bz_coopA_TNT                                                           
      5.1         67756116        504    134436.7    106255.0    103167    206974      33354.0  nvjet_tst_192x128_64x5_1x2_h_bz_coopB_TNT                                                           
      4.1         54653522       2449     22316.7      8128.0      1888    598298      87999.8  triton_poi_fused_mul_silu_slice_1                                                                   
      3.8         50697552        840     60354.2     87983.5     18623    117630      37566.4  nvjet_tst_112x128_64x7_2x1_v_bz_TNN                                                                 
      3.0         40119313         56    716416.3    715464.5    686425    784279      25170.4  nvjet_tst_192x192_64x4_2x1_v_bz_coopB_bias_TNN                                                      
      2.9         38750903        910     42583.4     39999.5     25184     63136      11842.6  void cutlass::device_kernel<flash::enable_sm90_or_later<flash::FlashAttnFwdSm90<flash::CollectiveMa…
      1.9         25095798       3906      6424.9      4672.0      2176    308573      16754.6  void vllm::reshape_and_cache_flash_kernel<__nv_bfloat16, __nv_bfloat16, (vllm::Fp8KVCacheDataType)0…
      1.5         20358767       2449      8313.1      4000.0      2432    187230      27044.3  triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_2                                                  
      1.5         19628176         56    350503.1    350252.5    345916    357853       2874.9  nvjet_tst_512x64_64x2_2x1_v_bz_coopB_TNN                                                            
      1.5         19280715        336     57383.1     57647.5     52959     62015       1848.7  nvjet_tst_112x128_64x7_2x1_v_bz_splitK_TNN                                                          
      1.5         19276911        112    172115.3    172030.0    168958    178078       1760.7  nvjet_tst_192x160_64x4_2x1_v_bz_coopB_TNT                                                           
      1.4         17899456          1  17899456.0  17899456.0  17899456  17899456          0.0  _topk_topp_kernel                                                                                   
      1.2         15440028         56    275714.8    274381.5      6240    547610     271533.4  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<signed char>, std::a…
      1.1         14547216       2450      5937.6      3232.0      2207    112511      15921.3  triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0                                                  
      1.0         12929302        112    115440.2    115423.0    113503    118207        847.9  nvjet_tst_192x160_64x4_1x2_h_bz_coopB_TNT                                                           
      0.9         12395995        168     73785.7     72479.0     70239     87807       3658.9  nvjet_tst_168x128_64x5_2x1_v_bz_splitK_TNN                                                          
      0.9         12262535       2362      5191.6      2912.0      1824    102495      14097.3  triton_poi_fused_3                                                                                  
      0.9         11484006        112    102535.8    102463.0    100735    104575        906.3  nvjet_tst_192x160_64x4_4x1_v_bz_coopB_TNT                                                           
      0.9         11379273        112    101600.7    101535.0    100063    103903        660.8  nvjet_tst_192x112_64x5_1x2_h_bz_TNT                                                                 
      0.8         11238444        112    100343.3    100271.0     98367    103647       1009.5  nvjet_tst_144x192_64x5_2x1_v_bz_coopB_TNN                                                           
      0.8         10454740        112     93345.9     93455.5     92095     96031        558.3  nvjet_tst_192x8_64x8_4x1_v_bz_TNT                                                                   
      0.7          9482883       1861      5095.6      5056.0      2015      9216       1691.1  void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __nv_bfloat16, float, __nv_bfloat1…
      0.7          9060871         56    161801.3    161726.5    159710    164158       1019.5  nvjet_tst_128x224_64x4_2x1_v_bz_coopA_TNT                                                           
      0.7          8946466        336     26626.4     26351.5     24800     32063       1017.8  nvjet_tst_144x128_64x6_1x2_h_bz_coopA_bias_TNN                                                      
      0.7          8734116         56    155966.4    155310.5    153151    163102       2113.4  nvjet_tst_192x144_64x5_2x1_v_bz_coopB_TNT                                                           
      0.6          8546562        112     76308.6     76319.0     74687     77727        782.3  nvjet_tst_256x144_64x4_2x1_v_bz_coopA_splitK_TNT                                                    
      0.6          8199785         84     97616.5     97503.0     95199    101439       1275.4  nvjet_tst_144x128_64x6_2x1_v_bz_TNN                                                                 
      0.6          7728721        112     69006.4     68831.5     67295     71007        913.2  nvjet_tst_128x80_64x8_2x4_v_bz_TNT                                                                  
      0.6          7512401         56    134150.0    134206.5    132095    137374       1081.5  nvjet_tst_192x208_64x4_2x1_v_bz_coopB_TNT                                                           
      0.6          7480142        112     66787.0     66943.5     64063     68128        910.8  nvjet_tst_256x96_64x4_2x1_v_bz_coopA_splitK_TNT                                                     
      0.6          7401568       3082      2401.5      1696.0      1088     37984       4659.5  void at::native::vectorized_elementwise_kernel<(int)8, at::native::FillFunctor<c10::BFloat16>, std:…
      0.5          7075596        910      7775.4      6608.0      3968     13120       2855.0  void cutlass::device_kernel<flash::FlashAttnFwdCombine<cute::tuple<cute::C<(int)8>, cute::C<(int)12…
      0.5          7056141         56    126002.5    126014.0    123871    128734        959.9  nvjet_tst_128x160_64x5_2x1_v_bz_TNT                                                                 
      0.5          6936598         69    100530.4    100479.0     98495    103199       1016.4  nvjet_tst_192x144_64x5_4x1_v_bz_coopB_TNT                                                           
      0.5          6713854         56    119890.3    119967.0    117919    121630        720.8  nvjet_tst_192x176_64x4_1x2_h_bz_coopB_TNT                                                           
      0.5          6212706        112     55470.6     55535.5     54079     56991        622.9  nvjet_tst_128x80_64x8_4x2_v_bz_splitK_TNT                                                           
      0.5          6056675         56    108154.9    108031.0    107070    109631        602.0  nvjet_tst_192x144_64x5_1x2_h_bz_coopB_TNT                                                           
      0.4          5864508         56    104723.4    104623.0    102687    107487       1061.9  nvjet_tst_192x176_64x4_4x1_v_bz_coopB_TNT                                                           
      0.4          5631107         56    100555.5    100511.0     98719    102111        731.8  nvjet_tst_192x104_64x5_1x2_h_bz_TNT                                                                 
      0.4          5609386       2362      2374.8      2048.0      1696     17792       2201.3  triton_poi_fused_4                                                                                  
      0.4          5451592         56     97349.9     97439.0     95455     99711        930.9  nvjet_tst_192x88_64x6_1x2_h_bz_TNT                                                                  
      0.4          5331784         56     95210.4     95151.0     93887     97087        633.4  nvjet_tst_320x64_64x4_4x1_v_bz_TNT                                                                  
      0.4          5277614        112     47121.6     47167.5     45920     48735        669.2  nvjet_tst_64x8_64x16_2x1_v_bz_splitK_TNT                                                            
      0.3          4609709        224     20579.1     20591.5     19008     23551        657.6  nvjet_tst_128x80_64x8_4x1_v_bz_bias_TNT                                                             
      0.3          4150995        168     24708.3     24335.5     23424     29536       1205.3  nvjet_tst_112x128_64x7_2x1_v_bz_bias_TNN                                                            
      0.3          4103420       3145      1304.7      1344.0      1152      2336        116.3  void at::native::vectorized_elementwise_kernel<(int)2, at::native::FillFunctor<long>, std::array<ch…
      0.3          3882003         56     69321.5     69343.5     67967     71135        586.9  nvjet_tst_256x112_64x4_2x1_v_bz_coopA_splitK_TNT                                                    
      0.3          3583711        224     15998.7     15920.0     14720     17440        725.1  nvjet_tst_112x64_64x9_1x2_h_bz_TNN                                                                  
      0.2          3288254         56     58718.8     58719.5     57439     60767        673.0  nvjet_tst_64x208_64x6_4x1_v_bz_splitK_TNT                                                           
      0.2          3258873         56     58194.2     58159.5     56832     59743        715.9  nvjet_tst_256x72_64x5_2x1_v_bz_splitK_TNT                                                           
      0.2          3246426         56     57971.9     58047.0     56351     59200        648.9  nvjet_tst_128x96_64x7_4x2_v_bz_splitK_TNT                                                           
      0.2          3245094        168     19316.0     19104.0     17600     22752       1132.3  nvjet_tst_112x64_64x9_2x1_v_bz_bias_TNN                                                             
      0.2          3237498         56     57812.5     57855.0     56319     59040        696.0  nvjet_tst_256x64_64x5_2x1_v_bz_splitK_TNT                                                           
      0.2          3209819         56     57318.2     57327.0     55999     58624        672.4  nvjet_tst_256x56_64x5_2x1_v_bz_splitK_TNT                                                           
      0.2          3205603         56     57242.9     57087.0     55488     58879        815.7  nvjet_tst_128x104_64x7_4x2_v_bz_splitK_TNT                                                          
      0.2          3154754         56     56334.9     56335.5     55264     58016        584.7  nvjet_tst_64x176_64x7_4x1_v_bz_splitK_TNT                                                           
      0.2          2932098        112     26179.4     27360.0     23328     29375       2295.9  nvjet_tst_128x144_64x6_4x1_v_bz_coopA_bias_TNT                                                      
      0.2          2796332        112     24967.3     26207.5     20928     28480       2263.0  nvjet_tst_192x64_64x6_4x1_v_bz_bias_TNT                                                             
      0.2          2736932         28     97747.6     97775.0     96191     99519        779.7  nvjet_tst_384x104_64x3_4x1_v_bz_coopA_TNT                                                           
      0.2          2735780         28     97706.4     97647.0     96415     99199        733.4  nvjet_tst_192x88_64x6_4x1_v_bz_TNT                                                                  
      0.2          2729988         28     97499.6     97407.0     96191     99647       1002.4  nvjet_tst_192x80_64x6_4x1_v_bz_TNT                                                                  
      0.2          2729540         28     97483.6     97503.0     96767     98143        381.2  nvjet_tst_192x48_64x7_4x1_v_bz_TNT                                                                  
      0.2          2727972         28     97427.6     97327.0     95839     98751        711.5  nvjet_tst_384x96_64x3_4x1_v_bz_coopA_TNT                                                            
      0.2          2723492        112     24316.9     24048.0     21215     28576       1546.8  nvjet_tst_144x64_64x8_2x1_v_bz_TNN                                                                  
      0.2          2717380         28     97049.3     97055.0     96095     97887        399.4  nvjet_tst_192x40_64x7_4x1_v_bz_TNT                                                                  
      0.2          2715108         28     96968.1     96927.0     96351     97791        380.5  nvjet_tst_192x16_64x8_4x1_v_bz_TNT                                                                  
      0.2          2698756         28     96384.1     96511.0     95263     96927        388.5  nvjet_tst_192x32_64x7_4x1_v_bz_TNT                                                                  
      0.2          2690276         28     96081.3     96095.0     95199     96799        407.2  nvjet_tst_192x24_64x7_4x1_v_bz_TNT                                                                  
      0.2          2663716         28     95132.7     95039.0     93055     97759       1021.9  nvjet_tst_384x72_64x3_4x1_v_bz_coopA_TNT                                                            
      0.2          2614980        112     23348.0     23423.5     20032     24800        610.1  nvjet_tst_128x96_64x7_4x1_v_bz_bias_TNT                                                             
